SN,department,section,loco_type,schedule_type,work_name,form_name
1,Electrical,EL,Electric,IA,   IRC,   IRC FORM
2,Electrical,EL,Electric,IA,   PULL DOWN TEST FOR CAB AC,   PULL DOWN TEST FOR CAB AC FORM
3,Electrical,EL,Electric,IA,"       CAB#1, HB#1, SB#1 SCH WORK","       CAB#1, HB#1, SB#1 SCH WORK FORM"
4,Electrical,EL,Electric,IA,"     CAB#2, HB#2, SB#2 SCH WORK","     CAB#2, HB#2, SB#2 SCH WORK FORM"
5,Electrical,EL,Electric,IA,   AUXILIARY MACHINE SCH & GREASING,   AUXILIARY MACHINE SCH & GREASING FORM
6,Electrical,EL,Electric,IA,    TM SCH & GREASING,    TM SCH & GREASING FORM
7,Electrical,EL,Electric,IA,    TRACTION CONVERTER & AUX. CONVERTER SCH,    TRACTION CONVERTER & AUX. CONVERTER SCH
8,Electrical,EL,Electric,IA,     HVAC SCH,     HVAC SCH FORM
9,Electrical,EL,Electric,IA,     KAVACH SCH,     KAVACH SCH FORM
10,Electrical,EL,Electric,IA,  HOTEL LOAD CONVERTER SCH,  HOTEL LOAD CONVERTER SCH FORM
11,Electrical,EL,Electric,IA, WATER LESS URINAL SCH, WATER LESS URINAL SCH FORM
12,Electrical,EL,Electric,IA,  MACHINE ROOM CLEANING,  MACHINE ROOM CLEANING FORM
13,Electrical,EL,Electric,IA,   SHOWER TEST ,   SHOWER TEST  FORM
14,Electrical,EL,Electric,IA,   SUMMER DRIVE,   SUMMER DRIVE FORM
15,Electrical,EL,Electric,IA, MONSOON DRIVE, MONSOON DRIVE FORM
16,Electrical,EL,Electric,IA,   WINTER DRIVE,   WINTER DRIVE FORM
17,Electrical,EL,Electric,IA, MISC. CHECK – GEN CHECK WORK, MISC. CHECK – GEN CHECK WORK FORM
18,Electrical,EL,Electric,IA,   MODIFICATION DRIVE WORK,   MODIFICATION DRIVE WORK FORM
19,Electrical,EL,Electric,IA,FINAL RUNNING CHECK (FRC),FINAL RUNNING CHECK (FRC) FORM
20,Electrical,EL,Electric,IB,   IRC,   IRC FORM
21,Electrical,EL,Electric,IB,   PULL DOWN TEST FOR CAB AC,   PULL DOWN TEST FOR CAB AC FORM
22,Electrical,EL,Electric,IB,"       CAB#1, HB#1, SB#1 SCH WORK","       CAB#1, HB#1, SB#1 SCH WORK FORM"
23,Electrical,EL,Electric,IB,"     CAB#2, HB#2, SB#2 SCH WORK","     CAB#2, HB#2, SB#2 SCH WORK FORM"
24,Electrical,EL,Electric,IB,   AUXILIARY MACHINE SCH & GREASING,   AUXILIARY MACHINE SCH & GREASING FORM
25,Electrical,EL,Electric,IB,    TM SCH & GREASING,    TM SCH & GREASING FORM
26,Electrical,EL,Electric,IB,    TRACTION CONVERTER & AUX. CONVERTER SCH,    TRACTION CONVERTER & AUX. CONVERTER SCH
27,Electrical,EL,Electric,IB,     HVAC SCH,     HVAC SCH FORM
28,Electrical,EL,Electric,IB,     KAVACH SCH,     KAVACH SCH FORM
29,Electrical,EL,Electric,IB,  HOTEL LOAD CONVERTER SCH,  HOTEL LOAD CONVERTER SCH FORM
30,Electrical,EL,Electric,IB, WATER LESS URINAL SCH, WATER LESS URINAL SCH FORM
31,Electrical,EL,Electric,IB,  MACHINE ROOM CLEANING,  MACHINE ROOM CLEANING FORM
32,Electrical,EL,Electric,IB,   SHOWER TEST ,   SHOWER TEST  FORM
33,Electrical,EL,Electric,IB,   SUMMER DRIVE,   SUMMER DRIVE FORM
34,Electrical,EL,Electric,IB, MONSOON DRIVE, MONSOON DRIVE FORM
35,Electrical,EL,Electric,IB,   WINTER DRIVE,   WINTER DRIVE FORM
36,Electrical,EL,Electric,IB, MISC. CHECK – GEN CHECK WORK, MISC. CHECK – GEN CHECK WORK FORM
37,Electrical,EL,Electric,IB,   MODIFICATION DRIVE WORK,   MODIFICATION DRIVE WORK FORM
38,Electrical,EL,Electric,IB,FINAL RUNNING CHECK (FRC),FINAL RUNNING CHECK (FRC) FORM
39,Electrical,EL,Electric,IC,   IRC,   IRC FORM
40,Electrical,EL,Electric,IC,   PULL DOWN TEST FOR CAB AC,   PULL DOWN TEST FOR CAB AC FORM
41,Electrical,EL,Electric,IC,"       CAB#1, HB#1, SB#1 SCH WORK","       CAB#1, HB#1, SB#1 SCH WORK FORM"
42,Electrical,EL,Electric,IC,"     CAB#2, HB#2, SB#2 SCH WORK","     CAB#2, HB#2, SB#2 SCH WORK FORM"
43,Electrical,EL,Electric,IC,   AUXILIARY MACHINE SCH & GREASING,   AUXILIARY MACHINE SCH & GREASING FORM
44,Electrical,EL,Electric,IC,    TM SCH & GREASING,    TM SCH & GREASING FORM
45,Electrical,EL,Electric,IC,    TRACTION CONVERTER & AUX. CONVERTER SCH,    TRACTION CONVERTER & AUX. CONVERTER SCH
46,Electrical,EL,Electric,IC,     HVAC SCH,     HVAC SCH FORM
47,Electrical,EL,Electric,IC,     KAVACH SCH,     KAVACH SCH FORM
48,Electrical,EL,Electric,IC,  HOTEL LOAD CONVERTER SCH,  HOTEL LOAD CONVERTER SCH FORM
49,Electrical,EL,Electric,IC, WATER LESS URINAL SCH, WATER LESS URINAL SCH FORM
50,Electrical,EL,Electric,IC,  MACHINE ROOM CLEANING,  MACHINE ROOM CLEANING FORM
51,Electrical,EL,Electric,IC,   SHOWER TEST ,   SHOWER TEST  FORM
52,Electrical,EL,Electric,IC,   SUMMER DRIVE,   SUMMER DRIVE FORM
53,Electrical,EL,Electric,IC, MONSOON DRIVE, MONSOON DRIVE FORM
54,Electrical,EL,Electric,IC,   WINTER DRIVE,   WINTER DRIVE FORM
55,Electrical,EL,Electric,IC, MISC. CHECK – GEN CHECK WORK, MISC. CHECK – GEN CHECK WORK FORM
56,Electrical,EL,Electric,IC,   MODIFICATION DRIVE WORK,   MODIFICATION DRIVE WORK FORM
57,Electrical,EL,Electric,IC,FINAL RUNNING CHECK (FRC),FINAL RUNNING CHECK (FRC) FORM
58,Electrical,EL,Electric,OUT COURSE,   OUT OF COURSE WORK,
1,MECHANICAL,ML,Electric,IA,IRC,IRC  FORM
2,MECHANICAL,ML,Electric,IA,VCB SCHEDULE,VCB SCHEDULE  FORM
3,MECHANICAL,ML,Electric,IA,PANTO SCHEDULE,PANTO SCHEDULE FORM
4,MECHANICAL,ML,Electric,IA,TRANSFORMER SCHEDULE,TRANSFORMER SCHEDULE FORM
5,MECHANICAL,ML,Electric,IA,"COMPRESSOR( I,)","COMPRESSOR( I,) FORM"
6,MECHANICAL,ML,Electric,IA,"COMPRESSOR(  II,)","COMPRESSOR(  II,) FORM"
7,MECHANICAL,ML,Electric,IA,OCB SCHEDULE,OCB & CARBODY SCHEDULE FORM
8,MECHANICAL,ML,Electric,IA,CARBODY SCHEDULE,OCB & CARBODY SCHEDULE FORM
9,MECHANICAL,ML,Electric,IA,FRC AND REPAIRS,FRC AND REPAIRS FOEM
10,MECHANICAL,ML,Electric,IA,UNDERFRAME (I),UNDERFRAME (I) FORM
11,MECHANICAL,ML,Electric,IA,UNDERFRAME ( II),UNDERFRAME ( II) FORM
12,MECHANICAL,ML,Electric,IA,UPPERFRAME,UPPERFRAME FORM
13,MECHANICAL,ML,Electric,IB,IRC,IRC  FORM
14,MECHANICAL,ML,Electric,IB,VCB SCHEDULE,VCB SCHEDULE  FORM
15,MECHANICAL,ML,Electric,IB,PANTO SCHEDULE,PANTO SCHEDULE FORM
16,MECHANICAL,ML,Electric,IB,TRANSFORMER SCHEDULE,TRANSFORMER SCHEDULE FORM
17,MECHANICAL,ML,Electric,IB,"COMPRESSOR( I,)","COMPRESSOR( I,) FORM"
